processed 9198 tokens with 3019 phrases; found: 3006 phrases; correct: 2539.
accuracy:  93.66%; precision:  84.46%; recall:  84.10%; FB1:  84.28
              air: precision:  84.21%; recall: 100.00%; FB1:  91.43  19
    aircraft_code: precision: 100.00%; recall:  75.76%; FB1:  86.21  25
          airline: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
     airline_code: precision: 100.00%; recall:  77.78%; FB1:  87.50  28
     airline_name: precision:  93.14%; recall:  94.06%; FB1:  93.60  102
          airport: precision:  60.00%; recall:  27.27%; FB1:  37.50  5
     airport_code: precision:  50.00%; recall:  11.11%; FB1:  18.18  2
     airport_name: precision: 100.00%; recall:  22.73%; FB1:  37.04  5
arrive_date.date_relative: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
arrive_date.day_name: precision:  22.22%; recall:  18.18%; FB1:  20.00  9
arrive_date.day_number: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
arrive_date.month_name: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
arrive_date.today_relative: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
arrive_time.end_time: precision:  50.00%; recall:  25.00%; FB1:  33.33  4
arrive_time.period_of_day: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
arrive_time.start_time: precision: 100.00%; recall:  25.00%; FB1:  40.00  2
 arrive_time.time: precision:  41.51%; recall:  64.71%; FB1:  50.57  53
arrive_time.time_relative: precision:  48.89%; recall:  70.97%; FB1:  57.89  45
arrive_time.time_relativenoon: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    booking_class: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
             city: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
        city_name: precision:  65.00%; recall:  20.31%; FB1:  30.95  20
            class: precision: 100.00%; recall: 100.00%; FB1: 100.00  17
       class_type: precision:  96.00%; recall: 100.00%; FB1:  97.96  25
      compartment: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
          connect: precision: 100.00%; recall:  83.33%; FB1:  90.91  5
    cost_relative: precision: 100.00%; recall:  97.30%; FB1:  98.63  36
         day_name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
        days_code: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
depart_date.date_relative: precision:  83.33%; recall:  88.24%; FB1:  85.71  18
depart_date.day_nam: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
depart_date.day_name: precision:  92.20%; recall:  96.63%; FB1:  94.37  218
depart_date.day_number: precision:  86.21%; recall:  90.91%; FB1:  88.50  58
depart_date.month_name: precision:  89.66%; recall:  92.86%; FB1:  91.23  58
depart_date.today: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
depart_date.today_relative: precision:  88.89%; recall:  88.89%; FB1:  88.89  9
 depart_date.year: precision: 100.00%; recall: 100.00%; FB1: 100.00  3
depart_time.end_time: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
depart_time.period_mod: precision:  50.00%; recall: 100.00%; FB1:  66.67  10
depart_time.period_of_day: precision:  89.60%; recall:  88.19%; FB1:  88.89  125
depart_time.start_time: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
 depart_time.time: precision:  65.57%; recall:  70.18%; FB1:  67.80  61
depart_time.time_relative: precision:  80.39%; recall:  63.08%; FB1:  70.69  51
depart_time.time_relativenoon: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
          economy: precision: 100.00%; recall: 100.00%; FB1: 100.00  6
      fare_amount: precision:  50.00%; recall: 100.00%; FB1:  66.67  4
  fare_basis_code: precision:  91.67%; recall:  64.71%; FB1:  75.86  12
fare_basis_codeare: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
fare_basis_codeat: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
fare_basis_codeean: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           flight: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      flight_days: precision: 100.00%; recall: 100.00%; FB1: 100.00  10
       flight_mod: precision:  76.19%; recall:  66.67%; FB1:  71.11  21
    flight_number: precision: 100.00%; recall:  36.36%; FB1:  53.33  4
      flight_stop: precision:  95.45%; recall: 100.00%; FB1:  97.67  22
      flight_time: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
  fromloc.airport: precision:   0.00%; recall:   0.00%; FB1:   0.00  8
fromloc.airport_code: precision: 100.00%; recall: 100.00%; FB1: 100.00  5
fromloc.airport_name: precision:  30.77%; recall:  66.67%; FB1:  42.11  26
     fromloc.city: precision:  68.42%; recall:  86.67%; FB1:  76.47  57
 fromloc.city_nam: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
fromloc.city_name: precision:  89.71%; recall:  93.16%; FB1:  91.40  729
fromloc.city_namendo: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
fromloc.state_code: precision: 100.00%; recall:  91.30%; FB1:  95.45  21
fromloc.state_name: precision:  85.71%; recall:  70.59%; FB1:  77.42  14
             meal: precision:  94.12%; recall: 100.00%; FB1:  96.97  17
        meal_code: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
 meal_description: precision: 100.00%; recall:  90.00%; FB1:  94.74  9
              mod: precision: 100.00%; recall:  50.00%; FB1:  66.67  1
               or: precision:  33.33%; recall:  66.67%; FB1:  44.44  6
          orlando: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           orning: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    period_of_day: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
 restriction_code: precision: 100.00%; recall:  75.00%; FB1:  85.71  3
return_date.date_relative: precision:  50.00%; recall:  33.33%; FB1:  40.00  2
return_date.day_name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       round_trip: precision: 100.00%; recall:  97.26%; FB1:  98.61  71
       state_code: precision:  33.33%; recall: 100.00%; FB1:  50.00  3
       state_name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
stoploc.airport_code: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
stoploc.city_name: precision:  34.62%; recall:  45.00%; FB1:  39.13  26
    toloc.airport: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
toloc.airport_code: precision: 100.00%; recall:  50.00%; FB1:  66.67  2
toloc.airport_name: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
       toloc.city: precision:  85.29%; recall:  96.67%; FB1:  90.62  68
   toloc.city_nam: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
  toloc.city_name: precision:  87.37%; recall:  92.80%; FB1:  90.00  752
toloc.country_name: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
 toloc.state_code: precision:  94.44%; recall:  94.44%; FB1:  94.44  18
 toloc.state_name: precision:  63.41%; recall:  92.86%; FB1:  75.36  41
toloc.state_namepolis: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   transport_type: precision:  90.00%; recall:  90.00%; FB1:  90.00  10
