processed 9198 tokens with 3019 phrases; found: 2984 phrases; correct: 2532.
accuracy:  93.60%; precision:  84.85%; recall:  83.87%; FB1:  84.36
              air: precision:  81.25%; recall:  81.25%; FB1:  81.25  16
    aircraft_code: precision: 100.00%; recall:  75.76%; FB1:  86.21  25
          airline: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
     airline_code: precision: 100.00%; recall:  77.78%; FB1:  87.50  28
     airline_name: precision:  88.24%; recall:  89.11%; FB1:  88.67  102
          airport: precision:  60.00%; recall:  27.27%; FB1:  37.50  5
     airport_code: precision:  50.00%; recall:  11.11%; FB1:  18.18  2
     airport_name: precision: 100.00%; recall:  22.73%; FB1:  37.04  5
arrive_date.date_relative: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
arrive_date.day_name: precision:  25.00%; recall:  18.18%; FB1:  21.05  8
arrive_date.day_number: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
arrive_date.month_name: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
arrive_date.today_relative: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
arrive_time.end_time: precision:  66.67%; recall:  25.00%; FB1:  36.36  3
arrive_time.period_of_day: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
arrive_time.start_time: precision: 100.00%; recall:  25.00%; FB1:  40.00  2
 arrive_time.time: precision:  39.02%; recall:  47.06%; FB1:  42.67  41
arrive_time.time_relative: precision:  50.00%; recall:  51.61%; FB1:  50.79  32
arrive_time.time_relativenoon: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    booking_class: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
             city: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
        city_name: precision:  66.67%; recall:  21.88%; FB1:  32.94  21
            class: precision: 100.00%; recall: 100.00%; FB1: 100.00  17
       class_type: precision:  96.00%; recall: 100.00%; FB1:  97.96  25
      compartment: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
          connect: precision: 100.00%; recall:  83.33%; FB1:  90.91  5
    cost_relative: precision: 100.00%; recall:  97.30%; FB1:  98.63  36
         day_name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
        days_code: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
depart_date.date_relative: precision:  92.86%; recall:  76.47%; FB1:  83.87  14
depart_date.day_nam: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
depart_date.day_name: precision:  92.24%; recall:  97.12%; FB1:  94.61  219
depart_date.day_number: precision:  84.75%; recall:  90.91%; FB1:  87.72  59
depart_date.month_name: precision:  89.83%; recall:  94.64%; FB1:  92.17  59
depart_date.today: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
depart_date.today_relative: precision:  85.71%; recall:  66.67%; FB1:  75.00  7
 depart_date.year: precision: 100.00%; recall: 100.00%; FB1: 100.00  3
depart_time.end_time: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
depart_time.period_mod: precision: 100.00%; recall:  60.00%; FB1:  75.00  3
depart_time.period_of_day: precision:  89.31%; recall:  92.13%; FB1:  90.70  131
depart_time.start_time: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
 depart_time.time: precision:  58.90%; recall:  75.44%; FB1:  66.15  73
depart_time.time_relative: precision:  74.19%; recall:  70.77%; FB1:  72.44  62
depart_time.time_relativenoon: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
          economy: precision: 100.00%; recall: 100.00%; FB1: 100.00  6
      fare_amount: precision:  50.00%; recall: 100.00%; FB1:  66.67  4
  fare_basis_code: precision:  91.67%; recall:  64.71%; FB1:  75.86  12
fare_basis_codeare: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
fare_basis_codeat: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
fare_basis_codeean: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           flight: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      flight_days: precision: 100.00%; recall: 100.00%; FB1: 100.00  10
       flight_mod: precision:  77.27%; recall:  70.83%; FB1:  73.91  22
    flight_number: precision: 100.00%; recall:  36.36%; FB1:  53.33  4
      flight_stop: precision:  95.45%; recall: 100.00%; FB1:  97.67  22
      flight_time: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
  fromloc.airport: precision:  22.22%; recall:  33.33%; FB1:  26.67  9
fromloc.airport_code: precision:  83.33%; recall: 100.00%; FB1:  90.91  6
fromloc.airport_name: precision:  29.17%; recall:  58.33%; FB1:  38.89  24
     fromloc.city: precision:  70.91%; recall:  86.67%; FB1:  78.00  55
 fromloc.city_nam: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
fromloc.city_name: precision:  90.25%; recall:  93.59%; FB1:  91.89  728
fromloc.city_namendo: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
fromloc.state_code: precision: 100.00%; recall:  91.30%; FB1:  95.45  21
fromloc.state_name: precision:  92.31%; recall:  70.59%; FB1:  80.00  13
             meal: precision: 100.00%; recall: 100.00%; FB1: 100.00  16
        meal_code: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
 meal_description: precision:  90.00%; recall:  90.00%; FB1:  90.00  10
              mod: precision: 100.00%; recall:  50.00%; FB1:  66.67  1
               or: precision:  50.00%; recall:  66.67%; FB1:  57.14  4
          orlando: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           orning: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    period_of_day: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
 restriction_code: precision: 100.00%; recall:  75.00%; FB1:  85.71  3
return_date.date_relative: precision:  50.00%; recall:  33.33%; FB1:  40.00  2
return_date.day_name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       round_trip: precision: 100.00%; recall:  95.89%; FB1:  97.90  70
       state_code: precision:  33.33%; recall: 100.00%; FB1:  50.00  3
       state_name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
stoploc.airport_code: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
stoploc.city_name: precision:  34.62%; recall:  45.00%; FB1:  39.13  26
    toloc.airport: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
toloc.airport_code: precision: 100.00%; recall:  25.00%; FB1:  40.00  1
toloc.airport_name: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
       toloc.city: precision:  82.09%; recall:  91.67%; FB1:  86.61  67
   toloc.city_nam: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
  toloc.city_name: precision:  87.52%; recall:  93.08%; FB1:  90.21  753
toloc.country_name: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
 toloc.state_code: precision:  94.44%; recall:  94.44%; FB1:  94.44  18
 toloc.state_name: precision:  64.29%; recall:  96.43%; FB1:  77.14  42
toloc.state_namepolis: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   transport_type: precision:  90.00%; recall:  90.00%; FB1:  90.00  10
