processed 9198 tokens with 3019 phrases; found: 2997 phrases; correct: 2553.
accuracy:  93.87%; precision:  85.19%; recall:  84.56%; FB1:  84.87
              air: precision:  92.86%; recall:  81.25%; FB1:  86.67  14
    aircraft_code: precision: 100.00%; recall:  75.76%; FB1:  86.21  25
          airline: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
     airline_code: precision: 100.00%; recall:  86.11%; FB1:  92.54  31
     airline_name: precision:  90.00%; recall:  89.11%; FB1:  89.55  100
          airport: precision: 100.00%; recall:  27.27%; FB1:  42.86  3
     airport_code: precision:  50.00%; recall:  11.11%; FB1:  18.18  2
     airport_name: precision: 100.00%; recall:  13.64%; FB1:  24.00  3
arrive_date.date_relative: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
arrive_date.day_name: precision:  12.50%; recall:   9.09%; FB1:  10.53  8
arrive_date.day_number: precision:   0.00%; recall:   0.00%; FB1:   0.00  5
arrive_date.month_name: precision:   0.00%; recall:   0.00%; FB1:   0.00  5
arrive_date.today_relative: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
arrive_time.end_time: precision:  66.67%; recall:  25.00%; FB1:  36.36  3
arrive_time.period_of_day: precision:   0.00%; recall:   0.00%; FB1:   0.00  4
arrive_time.start_time: precision: 100.00%; recall:  25.00%; FB1:  40.00  2
 arrive_time.time: precision:  43.90%; recall:  52.94%; FB1:  48.00  41
arrive_time.time_relative: precision:  56.25%; recall:  58.06%; FB1:  57.14  32
arrive_time.time_relativenoon: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    booking_class: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
             city: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
        city_name: precision:  51.72%; recall:  23.44%; FB1:  32.26  29
            class: precision: 100.00%; recall: 100.00%; FB1: 100.00  17
       class_type: precision:  96.00%; recall: 100.00%; FB1:  97.96  25
      compartment: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
          connect: precision: 100.00%; recall:  83.33%; FB1:  90.91  5
        cost_rela: precision:   0.00%; recall:   0.00%; FB1:   0.00  2
    cost_relative: precision: 100.00%; recall:  91.89%; FB1:  95.77  34
         day_name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
        days_code: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
depart_date.date_relative: precision:  87.50%; recall:  82.35%; FB1:  84.85  16
depart_date.day_nam: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
depart_date.day_name: precision:  91.78%; recall:  96.63%; FB1:  94.15  219
depart_date.day_number: precision:  87.50%; recall:  89.09%; FB1:  88.29  56
depart_date.month_name: precision:  89.47%; recall:  91.07%; FB1:  90.27  57
depart_date.today: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
depart_date.today_relative: precision:  88.89%; recall:  88.89%; FB1:  88.89  9
 depart_date.year: precision: 100.00%; recall: 100.00%; FB1: 100.00  3
depart_time.end_time: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
depart_time.period_mod: precision:  71.43%; recall: 100.00%; FB1:  83.33  7
depart_time.period_of_day: precision:  90.48%; recall:  89.76%; FB1:  90.12  126
depart_time.start_time: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
 depart_time.time: precision:  63.51%; recall:  82.46%; FB1:  71.76  74
depart_time.time_relative: precision:  79.37%; recall:  76.92%; FB1:  78.12  63
depart_time.time_relativenoon: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
          economy: precision: 100.00%; recall: 100.00%; FB1: 100.00  6
      fare_amount: precision:  50.00%; recall: 100.00%; FB1:  66.67  4
  fare_basis_code: precision:  84.62%; recall:  64.71%; FB1:  73.33  13
fare_basis_codeare: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
fare_basis_codeat: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
fare_basis_codeean: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           flight: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      flight_days: precision: 100.00%; recall: 100.00%; FB1: 100.00  10
       flight_mod: precision:  78.26%; recall:  75.00%; FB1:  76.60  23
    flight_number: precision: 100.00%; recall:  54.55%; FB1:  70.59  6
