processed 9198 tokens with 3019 phrases; found: 3002 phrases; correct: 2604.
accuracy:  94.49%; precision:  86.74%; recall:  86.25%; FB1:  86.50
              air: precision:  94.12%; recall: 100.00%; FB1:  96.97  17
    aircraft_code: precision: 100.00%; recall:  75.76%; FB1:  86.21  25
          airline: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
     airline_code: precision: 100.00%; recall:  86.11%; FB1:  92.54  31
     airline_name: precision:  95.05%; recall:  95.05%; FB1:  95.05  101
          airport: precision: 100.00%; recall:  27.27%; FB1:  42.86  3
     airport_code: precision:  83.33%; recall:  55.56%; FB1:  66.67  6
     airport_name: precision:  75.00%; recall:  13.64%; FB1:  23.08  4
arrive_date.date_relative: precision:  50.00%; recall:  50.00%; FB1:  50.00  2
arrive_date.day_name: precision:  28.57%; recall:  36.36%; FB1:  32.00  14
arrive_date.day_number: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
arrive_date.month_name: precision:   0.00%; recall:   0.00%; FB1:   0.00  3
arrive_date.today_relative: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
arrive_time.end_time: precision:  50.00%; recall:  25.00%; FB1:  33.33  4
arrive_time.period_of_day: precision:   0.00%; recall:   0.00%; FB1:   0.00  8
arrive_time.start_time: precision: 100.00%; recall:  25.00%; FB1:  40.00  2
 arrive_time.time: precision:  51.11%; recall:  67.65%; FB1:  58.23  45
arrive_time.time_relative: precision:  55.81%; recall:  77.42%; FB1:  64.86  43
arrive_time.time_relativenoon: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    booking_class: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
             city: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
        city_name: precision:  65.52%; recall:  29.69%; FB1:  40.86  29
            class: precision: 100.00%; recall: 100.00%; FB1: 100.00  17
       class_type: precision:  92.31%; recall: 100.00%; FB1:  96.00  26
      compartment: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
          connect: precision: 100.00%; recall:  83.33%; FB1:  90.91  5
    cost_relative: precision: 100.00%; recall:  97.30%; FB1:  98.63  36
         day_name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
        days_code: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
depart_date.date_relative: precision:  88.24%; recall:  88.24%; FB1:  88.24  17
depart_date.day_nam: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
depart_date.day_name: precision:  92.99%; recall:  95.67%; FB1:  94.31  214
depart_date.day_number: precision:  87.93%; recall:  92.73%; FB1:  90.27  58
depart_date.month_name: precision:  89.83%; recall:  94.64%; FB1:  92.17  59
depart_date.today: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
depart_date.today_relative: precision:  88.89%; recall:  88.89%; FB1:  88.89  9
 depart_date.year: precision: 100.00%; recall: 100.00%; FB1: 100.00  3
depart_time.end_time: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
depart_time.period_mod: precision:  62.50%; recall: 100.00%; FB1:  76.92  8
depart_time.period_of_day: precision:  89.92%; recall:  84.25%; FB1:  86.99  119
depart_time.start_time: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
 depart_time.time: precision:  64.18%; recall:  75.44%; FB1:  69.35  67
depart_time.time_relative: precision:  86.54%; recall:  69.23%; FB1:  76.92  52
depart_time.time_relativenoon: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
          economy: precision: 100.00%; recall: 100.00%; FB1: 100.00  6
      fare_amount: precision:  50.00%; recall: 100.00%; FB1:  66.67  4
  fare_basis_code: precision:  91.67%; recall:  64.71%; FB1:  75.86  12
fare_basis_codeare: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
fare_basis_codeat: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
fare_basis_codeean: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           flight: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
      flight_days: precision: 100.00%; recall: 100.00%; FB1: 100.00  10
       flight_mod: precision:  70.83%; recall:  70.83%; FB1:  70.83  24
    flight_number: precision: 100.00%; recall:  36.36%; FB1:  53.33  4
      flight_stop: precision: 100.00%; recall: 100.00%; FB1: 100.00  21
      flight_time: precision:  50.00%; recall: 100.00%; FB1:  66.67  2
  fromloc.airport: precision:  12.50%; recall:  16.67%; FB1:  14.29  8
fromloc.airport_code: precision:  83.33%; recall: 100.00%; FB1:  90.91  6
fromloc.airport_name: precision:  29.17%; recall:  58.33%; FB1:  38.89  24
     fromloc.city: precision:  74.55%; recall:  91.11%; FB1:  82.00  55
 fromloc.city_nam: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
fromloc.city_name: precision:  92.60%; recall:  94.44%; FB1:  93.51  716
fromloc.city_namendo: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
fromloc.state_code: precision: 100.00%; recall:  91.30%; FB1:  95.45  21
fromloc.state_name: precision: 100.00%; recall:  70.59%; FB1:  82.76  12
             meal: precision: 100.00%; recall: 100.00%; FB1: 100.00  16
        meal_code: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
 meal_description: precision:  90.00%; recall:  90.00%; FB1:  90.00  10
              mod: precision: 100.00%; recall:  50.00%; FB1:  66.67  1
               or: precision:  42.86%; recall: 100.00%; FB1:  60.00  7
          orlando: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
           orning: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
    period_of_day: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
 restriction_code: precision: 100.00%; recall:  75.00%; FB1:  85.71  3
return_date.date_relative: precision:  50.00%; recall:  33.33%; FB1:  40.00  2
return_date.day_name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
       round_trip: precision: 100.00%; recall:  97.26%; FB1:  98.61  71
       state_code: precision:  50.00%; recall: 100.00%; FB1:  66.67  2
       state_name: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
stoploc.airport_code: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
stoploc.city_name: precision:  50.00%; recall:  65.00%; FB1:  56.52  26
stoploc.state_code: precision:   0.00%; recall:   0.00%; FB1:   0.00  1
    toloc.airport: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
toloc.airport_code: precision: 100.00%; recall:  25.00%; FB1:  40.00  1
toloc.airport_name: precision:  40.00%; recall:  66.67%; FB1:  50.00  5
       toloc.city: precision:  82.35%; recall:  93.33%; FB1:  87.50  68
   toloc.city_nam: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
  toloc.city_name: precision:  90.84%; recall:  96.61%; FB1:  93.63  753
toloc.country_name: precision: 100.00%; recall: 100.00%; FB1: 100.00  1
 toloc.state_code: precision:  94.44%; recall:  94.44%; FB1:  94.44  18
 toloc.state_name: precision:  65.12%; recall: 100.00%; FB1:  78.87  43
toloc.state_namepolis: precision:   0.00%; recall:   0.00%; FB1:   0.00  0
   transport_type: precision:  90.00%; recall:  90.00%; FB1:  90.00  10
